Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
2193,1795118,Prof Oscar Fadel,Mr,Male,1,Married,31,2021-10-05,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981
2195,193182,Valentin Toy,Mr,Male,1,Married,31,2021-10-07,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970
2196,193183,Dr Lamont Murphy IV,Mr,Male,1,Single,31,2021-10-04,3/18/2022,Inactive,3/18/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001
2197,5349,Freeda Rice IV,Mr,Male,1,Single,17,2021-10-01,11/1/2021,Inactive,11/1/2021,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1998
2200,1795119,Karina Predovic III,Mr,Male,1,Married,31,2021-10-08,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1961
2204,1795122,Gabriella Gleason,Mr,Male,1,Married,31,2021-10-09,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968
2207,5351,Dr Katherine Kovacek,Mr,Male,1,Married,24,2021-09-13,4/30/2022,Inactive,4/30/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1969
2208,5352,Ransom Grant,Mr,Male,1,Single,22,2021-10-11,0000-00-00,Active,0000-00-00,2709,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1996
2209,5353,Judd Hartmann,Mr,Male,1,Single,22,2021-10-11,\N,Active,\N,2631,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1996
2210,5354,Mr Franco Friesen Jr,Miss,Female,1,Single,178,2021-10-12,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Trainee Purchasing Officer,1996
2211,5355,Carol Weimann,Miss,Female,1,Single,178,2021-10-12,11/9/2021,Inactive,11/9/2021,\N,\N,Staff,Contarct Basis,Buddhist,Trainee Purchasing Officer,1997
2214,1795125,Kaylie Von,Mr,Male,1,Married,31,2021-10-13,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976
2216,193185,Karen Wolf,Mr,Male,1,Single,31,2021-10-13,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993
2217,193186,Delilah Mueller,Mr,Male,1,Married,31,2021-10-12,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1961
2220,50042,Jay Buckridge,Miss,Female,3,Single,45,2021-08-02,\N,Active,\N,\N,\N,Management,Contarct Basis,Hindu,Construction Manager,1963
2221,1795126,Kendrick Runolfsson,Mr,Male,1,Married,124,2021-10-14,3/24/2022,Inactive,3/24/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1982
2225,5356,Gilbert Hermiston II,Mr,Male,1,Married,152,2021-10-14,3/31/2022,Inactive,3/31/2022,\N,\N,Management,Contarct Basis,Buddhist,Manager Contract,1987
2228,198133,Emilie Klein,Mr,Male,1,Married,55,2021-10-21,2/28/2022,Inactive,2/28/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1974
2229,5357,Sheila Jakubowski,Mr,Male,1,Married,33,2021-10-11,10/24/2021,Inactive,10/24/2021,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1981
2230,1795128,Dr Adeline Rowe,Mr,Male,1,Married,31,2021-10-22,5/5/2022,Inactive,5/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974
2231,1795129,Aimee Dach,Mr,Male,1,Single,31,2021-10-22,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998
2233,5358,Lenore Nikolaus,Mr,Male,1,Married,24,2021-10-18,8/31/2022,Inactive,8/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1964
